ID,length,imagepath-length,width,imagepath-width,label,L-length,T-length,A-length,E-length,L-width,T-width,A-width,E-width,round
1126,63.07,200620_055647_0000000033_CAM2_OK.bmp,47.937,200620_055651_0000000034_CAM2_OK.bmp,M,1.090206438,0.760095121,0.090206438,0.315624811,1.077122678,0.763136737,0.077122678,0.310381156,3
1131,62.807,200620_055718_0000000035_CAM2_OK.bmp,47.718,200620_055723_0000000036_CAM2_OK.bmp,M,1.098977362,0.749219666,0.098977362,0.334722039,1.098732903,0.751657982,0.098732903,0.330392312,3
1132,65.594,200620_055734_0000000037_CAM2_OK.bmp,48.792,200620_055738_0000000038_CAM2_OK.bmp,M,1.053592348,0.737892897,0.053592348,0.355210226,1.055798152,0.741232915,0.055798152,0.349103607,3
1133,61.874,200620_055747_0000000039_CAM2_OK.bmp,48.328,200620_055752_0000000040_CAM2_OK.bmp,M,1.137697035,0.738568816,0.137697035,0.353969974,1.128542051,0.74540899,0.128542051,0.341545398,3
1134,65.069,200620_055813_0000000041_CAM2_OK.bmp,49.11,200620_055818_0000000042_CAM2_OK.bmp,Not fertile,1.151188888,0.739686015,0.151188888,0.351924979,1.118888677,0.748196345,0.118888677,0.336547561,3
1135,62.108,200620_055842_0000000043_CAM2_OK.bmp,49.574,200620_055847_0000000044_CAM2_OK.bmp,M,1.054169435,0.793270539,0.054169435,0.260603982,1.02233128,0.799138778,0.02233128,0.251347109,3
1136,65.513,200620_055859_0000000045_CAM2_OK.bmp,49.542,200620_055904_0000000046_CAM2_OK.bmp,M,1.073395844,0.753489266,0.073395844,0.32715892,1.061851149,0.757393483,0.061851149,0.320317672,3
1141,63.438,200620_055924_0000000047_CAM2_OK.bmp,48.367,200620_055930_0000000048_CAM2_OK.bmp,M,1.112497,0.757026733,0.112497,0.320957314,1.102181911,0.761147255,0.102181911,0.313806223,3
1142,63.212,200620_055940_0000000049_CAM2_OK.bmp,43.963,200620_055944_0000000050_CAM2_OK.bmp,F,1.086641472,0.736543632,0.086641472,0.357692818,1.104367229,0.742130121,0.104367229,0.347472596,3
1143,62.006,200620_055956_0000000051_CAM2_OK.bmp,47.23,200620_060002_0000000052_CAM2_OK.bmp,Not fertile,1.10348931,0.754170932,0.10348931,0.325959351,1.1235416,0.759425495,0.1235416,0.316784868,3
1144,63.299,200620_060028_0000000053_CAM2_OK.bmp,45.321,200620_060031_0000000054_CAM2_OK.bmp,M,1.091662739,0.751192772,0.091662739,0.331216218,1.097081083,0.75478836,0.097081083,0.324874697,3
