ID,length,imagepath-length,width,imagepath-width,label,L-length,T-length,A-length,E-length,L-width,T-width,A-width,E-width,weight-day1,weight-day2,weight-day3,weight-day4,weight-day5,weight-day6
1345,59.035,200624_052443_0000000017_CAM2_OK.bmp,46.399,200624_052449_0000000018_CAM2_OK.bmp,F,1.085192859,0.773931859,0.085192859,0.292103417,1.067517036,0.779387535,0.067517036,0.283058755,56.366,55.947,55.494,55.056,54.603,54.152
1346,62.108,200624_052526_0000000019_CAM2_OK.bmp,45.371,200624_052534_0000000020_CAM2_OK.bmp,M,1.099616587,0.758837461,0.099616587,0.317805264,1.097418618,0.762524481,0.097418618,0.311433305,63.371,62.985,62.574,62.175,61.759,61.343
1351,62.401,200624_052612_0000000021_CAM2_OK.bmp,48.769,200624_052620_0000000022_CAM2_OK.bmp,F,1.087886406,0.774954877,0.087886406,0.290397712,1.083899974,0.777637577,0.083899974,0.285946088,57.002,56.686,56.346,56.017,55.676,55.345
1352,63.913,200624_052653_0000000023_CAM2_OK.bmp,48.245,200624_052659_0000000024_CAM2_OK.bmp,F,1.102713659,0.745896882,0.102713659,0.340667891,1.097447873,0.750406337,0.097447873,0.332611347,56.895,56.539,56.155,55.79,55.412,55.032
1353,65.006,200624_052727_0000000025_CAM2_OK.bmp,48.865,200624_052734_0000000026_CAM2_OK.bmp,F,1.073411132,0.747054973,0.073411132,0.338589576,1.073543624,0.750298024,0.073543624,0.332803723,54.1,53.761,53.393,53.039,52.67,52.309
1354,63.424,200624_052758_0000000027_CAM2_OK.bmp,48.331,200624_052804_0000000028_CAM2_OK.bmp,M,1.101475863,0.754950828,0.101475863,0.324589579,1.090630055,0.75895154,0.090630055,0.317607182,57.658,57.326,56.965,56.617,56.254,55.894
1355,64.397,200624_052831_0000000029_CAM2_OK.bmp,51.119,200624_052837_0000000030_CAM2_OK.bmp,M,1.050215406,0.792168024,0.050215406,0.262358452,1.085242894,0.786702967,0.085242894,0.271127786,64.695,64.271,63.809,63.368,62.909,62.448
1356,60.913,200624_052855_0000000031_CAM2_OK.bmp,47.082,200624_052902_0000000032_CAM2_OK.bmp,M,1.119377978,0.767055203,0.119377978,0.303687135,1.101842394,0.770537569,0.101842394,0.297795255,55.129,54.767,54.37,53.988,53.589,53.197
1361,62.785,200624_052945_0000000033_CAM2_OK.bmp,49.453,200624_052950_0000000034_CAM2_OK.bmp,M,1.087870094,0.779078993,0.087870094,0.283566889,1.08321269,0.778686566,0.08321269,0.284213756,61.071,60.684,60.265,59.867,59.45,59.042
1362,65.211,200624_053013_0000000035_CAM2_OK.bmp,47.464,200624_053018_0000000036_CAM2_OK.bmp,M,1.120946474,0.726222648,0.120946474,0.376988177,1.100721466,0.730010872,0.100721466,0.369842613,57.335,57.042,56.722,56.414,56.095,55.779
1363,62.559,200624_053046_0000000037_CAM2_OK.bmp,47.627,200624_053052_0000000038_CAM2_OK.bmp,F,1.100179979,0.752265839,0.100179979,0.329317308,1.115825467,0.75397591,0.115825467,0.326302322,65.959,65.633,65.275,64.938,64.582,64.226
1364,63.921,200624_053121_0000000039_CAM2_OK.bmp,46.337,200624_053126_0000000040_CAM2_OK.bmp,M,1.054513869,0.749088171,0.054513869,0.334956336,1.059092336,0.751628371,0.059092336,0.330444724,55.792,55.46,55.093,54.746,54.382,54.018
1365,60.377,200624_053209_0000000041_CAM2_OK.bmp,48.864,200624_053215_0000000042_CAM2_OK.bmp,F,1.069042004,0.784236398,0.069042004,0.275125719,1.074790669,0.788709326,0.074790669,0.267894225,51.163,50.859,50.524,50.203,49.87,49.535
1366,65.065,200624_053253_0000000043_CAM2_OK.bmp,48.953,200624_053258_0000000044_CAM2_OK.bmp,F,1.10264873,0.745992505,0.10264873,0.340496042,1.09008075,0.750971086,0.09008075,0.331609191,57.363,57.034,56.675,56.33,55.972,55.617
