ID,length,imagepath-length,width,imagepath-width,label,L-length,T-length,A-length,E-length,L-width,T-width,A-width,E-width,weight-day1,weight-day2,weight-day3,weight-day4,weight-day5,weight-day6
1146,60.378,200620_060130_0000000057_CAM2_OK.bmp,49.169,200620_060136_0000000058_CAM2_OK.bmp,M,1.122297104,0.79804687,0.122297104,0.253059234,1.133225744,0.804136603,0.133225744,0.243569806,61.516,61.201,60.864,60.539,60.192,59.856
1151,63.114,200620_060159_0000000059_CAM2_OK.bmp,48.263,200620_060204_0000000060_CAM2_OK.bmp,M,1.131856801,0.764178261,0.131856801,0.308595195,1.162812983,0.770563976,0.162812983,0.29775078,56.408,56.072,55.716,55.384,55.017,55.677
1152,63.163,200620_060226_0000000061_CAM2_OK.bmp,46.534,200620_060232_0000000062_CAM2_OK.bmp,Not fertile,1.060489978,0.733056827,0.060489978,0.364150722,1.054297202,0.736311054,0.054297202,0.358121673,57.928,57.583,57.215,56.874,56.497,56.139
1153,64.082,200620_060242_0000000063_CAM2_OK.bmp,47.717,200620_060247_0000000064_CAM2_OK.bmp,M,1.080710666,0.740803961,0.080710666,0.34988479,1.079390557,0.743246422,0.079390557,0.34544879,57.981,57.656,57.314,56.986,56.625,56.286
1154,61.783,200620_060305_0000000065_CAM2_OK.bmp,47.022,200620_060308_0000000066_CAM2_OK.bmp,M,1.101893244,0.751379252,0.101893244,0.330885831,1.103925364,0.758297473,0.103925364,0.31874368,56.077,55.706,55.312,54.932,54.523,54.133
1155,60.379,200620_060325_0000000067_CAM2_OK.bmp,49.004,200620_060329_0000000068_CAM2_OK.bmp,M,1.126425497,0.763181078,0.126425497,0.310305024,1.103013524,0.769618273,0.103013524,0.299345449,64.925,64.579,64.209,63.849,63.462,63.092
1156,68.884,200620_060348_0000000069_CAM2_OK.bmp,47.944,200620_060357_0000000070_CAM2_OK.bmp,F,1.090123763,0.684135548,0.090123763,0.46169864,1.089830061,0.688371785,0.089830061,0.452703354,59.712,59.374,59.014,58.664,58.291,57.931
1161,66.115,200620_060519_0000000071_CAM2_OK.bmp,49.543,200620_060529_0000000072_CAM2_OK.bmp,M,1.113937999,0.721434686,0.113937999,0.386126866,1.088501136,0.725939348,0.088501136,0.377525551,57.672,57.286,56.879,56.489,56.075,54.672
1162,65.577,200620_060553_0000000073_CAM2_OK.bmp,48.293,200620_060600_0000000074_CAM2_OK.bmp,M,1.087371118,0.729802849,0.087371118,0.370233072,1.068555717,0.735553561,0.068555717,0.359520302,55.315,54.986,54.637,54.303,53.941,53.595
1163,63.406,200620_060615_0000000075_CAM2_OK.bmp,48.752,200620_060620_0000000076_CAM2_OK.bmp,No result,1.061984551,0.754642577,0.061984551,0.325130638,1.036657515,0.764442233,0.036657515,0.308143319,58.205,57.869,57.506,57.154,56.776,56.415
1164,60.564,200620_060640_0000000077_CAM2_OK.bmp,46.617,200620_060652_0000000078_CAM2_OK.bmp,F,1.122419743,0.742497733,0.122419743,0.346805458,1.115330087,0.74543978,0.115330087,0.341489986,49.822,49.518,49.19,48.872,48.531,48.202
1165,63.528,200620_060709_0000000079_CAM2_OK.bmp,49.202,200620_060717_0000000080_CAM2_OK.bmp,M,1.094868316,0.767778093,0.094868316,0.302459668,1.087033243,0.772563896,0.087033243,0.294391318,65.992,65.631,65.239,64.86,64.358,63.85
1166,63.658,200620_060730_0000000081_CAM2_OK.bmp,47.376,200620_060736_0000000082_CAM2_OK.bmp,No result,1.050056839,0.740439483,0.050056839,0.350549266,1.051143432,0.744159758,0.051143432,0.34379747,60.347,59.99,59.607,59.236,58.84,58.457
1211,61.951,200620_060820_0000000083_CAM2_OK.bmp,47.755,200620_060844_0000000084_CAM2_OK.bmp,F,1.096509928,0.740387335,0.096509928,0.350644389,1.098286538,0.745276034,0.098286538,0.341784727,61.617,61.24,60.836,60.442,60.007,59.605
1212,65.133,200620_060857_0000000085_CAM2_OK.bmp,45.943,200620_060905_0000000086_CAM2_OK.bmp,M,1.130432857,0.718743691,0.130432857,0.39131656,1.130224838,0.723517305,0.130224838,0.382136948,54.718,54.362,53.983,53.608,53.199,52.823
1213,63.472,200620_060925_0000000087_CAM2_OK.bmp,43.612,200620_060930_0000000088_CAM2_OK.bmp,M,1.111520772,0.732229189,0.111520772,0.365692621,1.094399008,0.739215012,0.094399008,0.352786379,58.161,57.873,57.565,57.262,56.929,56.622
1214,65.122,200620_060959_0000000089_CAM2_OK.bmp,48.377,200620_061005_0000000090_CAM2_OK.bmp,F,1.036581968,0.732311134,0.036581968,0.3655398,1.011839962,0.738709276,0.011839962,0.353712527,60.275,59.957,59.613,59.278,58.916,58.576
1215,60.515,200620_061026_0000000091_CAM2_OK.bmp,46.176,200620_061031_0000000092_CAM2_OK.bmp,F,1.061984356,0.753348668,0.061984356,0.327406608,1.052507236,0.757938739,0.052507236,0.319367843,57.542,57.116,56.654,56.205,55.725,55.268
1216,66.682,200620_061043_0000000093_CAM2_OK.bmp,48.475,200620_061048_0000000094_CAM2_OK.bmp,M,1.147721329,0.710489124,0.147721329,0.407481081,1.138916317,0.718481867,0.138916317,0.391823575,52.385,52.07,51.728,51.397,51.049,50.71
1221,63.679,200620_061106_0000000095_CAM2_OK.bmp,47.711,200620_061116_0000000096_CAM2_OK.bmp,M,1.083462789,0.743140134,0.083462789,0.345641225,1.072168439,0.748025875,0.072168439,0.336852151,57.075,56.745,56.396,56.057,55.684,55.33
1222,66.008,200620_061125_0000000097_CAM2_OK.bmp,49.381,200620_061129_0000000098_CAM2_OK.bmp,M,1.076857108,0.738354828,0.076857108,0.354362378,1.070364081,0.741749924,0.070364081,0.348163266,51.009,50.676,50.316,49.964,49.581,49.227
1223,64.585,200620_061140_0000000099_CAM2_OK.bmp,48.055,200620_061146_0000000100_CAM2_OK.bmp,M,1.080703136,0.759169826,0.080703136,0.317228327,1.09708193,0.758603363,0.09708193,0.318211926,59.123,58.786,58.423,58.067,57.685,57.321
1224,63.498,200620_061206_0000000101_CAM2_OK.bmp,46.35,200620_061229_0000000102_CAM2_OK.bmp,F,1.069731637,0.720198606,0.069731637,0.388505882,1.070955705,0.726709355,0.070955705,0.376065951,59.937,59.587,59.21,58.843,58.454,58.077
