ID,length,imagepath-length,width,imagepath-width,label,L-length,T-length,A-length,E-length,L-width,T-width,A-width,E-width,weight-pre1,weight-pre2,weight-day1,weight-day2,weight-day3,weight-day4,weight-day5,weight-day6
1151,62.671,200630_053925_0000000239_CAM2_OK.bmp,47.389,200630_053930_0000000240_CAM2_OK.bmp,M,1.119648264,0.731414209,0.119648264,0.367214347,1.117979593,0.733699745,0.117979593,0.362955359,58.853,,58.291,57.947,,,,
1152,61.303,200630_054003_0000000241_CAM2_OK.bmp,48.46,200630_054008_0000000242_CAM2_OK.bmp,F,1.069495669,0.782239452,0.069495669,0.278380933,1.097275289,0.786385119,0.097275289,0.271641561,57.44,,56.894,56.557,,,,
1153,62.694,200630_054037_0000000243_CAM2_OK.bmp,46.743,200630_054043_0000000244_CAM2_OK.bmp,M,1.077510441,0.723154964,0.077510441,0.382829477,1.09181704,0.723172845,0.09181704,0.382795285,56.487,,56.015,55.728,,,,
1154,65.73,200630_054110_0000000245_CAM2_OK.bmp,46.923,200630_054114_0000000246_CAM2_OK.bmp,F,1.106188278,0.705901684,0.106188278,0.41662787,1.096260613,0.70877406,0.096260613,0.410886848,58.057,,57.507,57.169,,,,
1155,60.764,200630_054150_0000000247_CAM2_OK.bmp,46.71,200630_054200_0000000248_CAM2_OK.bmp,F,1.068330765,0.76116797,0.068330765,0.313770467,1.067997214,0.764764659,0.067997214,0.307591803,53.595,,52.973,52.591,,,,
1156,59.599,200630_054301_0000000249_CAM2_OK.bmp,46.345,200630_054306_0000000250_CAM2_OK.bmp,F,1.058182993,0.77485494,0.058182993,0.290564141,1.064120415,0.778066894,0.064120415,0.285236537,52.135,,51.568,51.224,,,,
1161,62.888,200630_054352_0000000251_CAM2_OK.bmp,46.591,200630_054357_0000000252_CAM2_OK.bmp,F,1.08911228,0.732664493,0.08911228,0.364881211,1.09881892,0.736654576,0.09881892,0.357488342,55.626,,55.031,54.669,,,,
1162,63.297,200630_054419_0000000253_CAM2_OK.bmp,45.707,200630_054424_0000000254_CAM2_OK.bmp,F,1.085696167,0.714671984,0.085696167,0.399243321,1.09139394,0.717139707,0.09139394,0.394428436,53.901,,53.392,53.082,,,,
1163,61.089,200630_054448_0000000255_CAM2_OK.bmp,46.974,200630_054452_0000000256_CAM2_OK.bmp,NR,1.098403491,0.760446337,0.098403491,0.315017182,1.079737256,0.764632055,0.079737256,0.30781857,54.323,,53.784,53.45,,,,
1164,61.507,200630_054515_0000000257_CAM2_OK.bmp,47.727,200630_054519_0000000258_CAM2_OK.bmp,M,1.107549948,0.737051694,0.107549948,0.356756939,1.096801399,0.739547244,0.096801399,0.352178657,58.169,,57.61,57.27,,,,
1165,59.975,200630_054544_0000000259_CAM2_OK.bmp,45.974,200630_054549_0000000260_CAM2_OK.bmp,M,1.047051052,0.754184693,0.047051052,0.325935158,1.098772872,0.749103292,0.098772872,0.334929389,53.003,,52.485,52.171,,,,
1166,60.748,200630_054610_0000000261_CAM2_OK.bmp,48.142,200630_054615_0000000262_CAM2_OK.bmp,F,1.106501225,0.7861433,0.106501225,0.272032719,1.107721989,0.78995557,0.107721989,0.265893979,57.164,,56.589,56.241,,,,
1211,62.651,200630_054747_0000000263_CAM2_OK.bmp,46.564,200630_054803_0000000264_CAM2_OK.bmp,Not fertile,1.087936158,0.738582235,0.087936158,0.353945373,1.089049558,0.73990224,0.089049558,0.351529899,54.543,,54.017,53.719,,,,
1212,62.622,200630_054829_0000000265_CAM2_OK.bmp,47.724,200630_054834_0000000266_CAM2_OK.bmp,M,1.048098098,0.75313142,0.048098098,0.327789511,1.042331083,0.756935726,0.042331083,0.321116134,57.4,,56.887,56.58,,,,
1213,61.322,200630_054845_0000000267_CAM2_OK.bmp,47.395,200630_054848_0000000268_CAM2_OK.bmp,F,1.096421771,0.76543683,0.096421771,0.306443537,1.097415616,0.768447286,0.097415616,0.301325436,55.567,,55.035,54.717,,,,
1214,60.327,200630_054907_0000000269_CAM2_OK.bmp,47.224,200630_054912_0000000270_CAM2_OK.bmp,F,1.058230432,0.754673861,0.058230432,0.325075708,1.062030194,0.756961707,0.062030194,0.32107079,55.96,,55.418,55.088,,,,
1215,58.992,200630_054940_0000000271_CAM2_OK.bmp,47.741,200630_054944_0000000272_CAM2_OK.bmp,M,1.020752026,0.802626826,0.020752026,0.245909018,1.021073701,0.807074889,0.021073701,0.239042391,54.777,,54.262,53.952,,,,
1216,63.841,200630_055000_0000000273_CAM2_OK.bmp,47.422,200630_055003_0000000274_CAM2_OK.bmp,M,1.117861588,0.732322691,0.117861588,0.365518252,1.09227754,0.737645693,0.09227754,0.355664393,57.766,,57.214,56.901,,,,
1221,62.009,200630_055033_0000000275_CAM2_OK.bmp,46.183,200630_055036_0000000276_CAM2_OK.bmp,M,1.106240267,0.734433389,0.106240267,0.36159387,1.1073006,0.740055735,0.1073006,0.351249579,53.806,,53.292,52.987,,,,
1222,62.127,200630_055111_0000000277_CAM2_OK.bmp,47.269,200630_055115_0000000278_CAM2_OK.bmp,F,1.118471488,0.747677171,0.118471488,0.337475637,1.121686335,0.752407421,0.121686335,0.329067168,55.529,,54.895,54.517,,,,
1223,61.063,200630_055146_0000000279_CAM2_OK.bmp,48.564,200630_055152_0000000280_CAM2_OK.bmp,F,1.096242749,0.785327492,0.096242749,0.273354122,1.090417977,0.789007986,0.090417977,0.267414295,57.605,,56.978,56.597,,,,
1224,62.041,200630_055215_0000000281_CAM2_OK.bmp,48.155,200630_055218_0000000282_CAM2_OK.bmp,NR,1.026612297,0.767971851,0.026612297,0.302131059,1.017429757,0.771117893,0.017429757,0.296818565,58.181,,57.751,57.489,,,,
1225,60.072,200630_055235_0000000283_CAM2_OK.bmp,48.663,200630_055239_0000000284_CAM2_OK.bmp,F,1.069535853,0.795331471,0.069535853,0.257337395,1.058666621,0.801045602,0.058666621,0.248368379,57.103,,56.617,56.332,,,,
1226,61.258,200630_055258_0000000285_CAM2_OK.bmp,44.762,200630_055302_0000000286_CAM2_OK.bmp,Not fertile,1.156828329,0.723646058,0.156828329,0.381891036,1.140335856,0.727719768,0.140335856,0.374155332,50.944,,50.424,50.117,,,,
1231,62.771,200630_055326_0000000287_CAM2_OK.bmp,49.884,200630_055331_0000000288_CAM2_OK.bmp,F,1.140060256,0.793934506,0.140060256,0.259549739,1.086036114,0.789703144,0.086036114,0.266298618,62.623,,62.043,61.695,,,,
1232,63.972,200630_055349_0000000289_CAM2_OK.bmp,47.608,200630_055353_0000000290_CAM2_OK.bmp,NR,1.059000826,0.738333081,0.059000826,0.354402269,1.056303211,0.742022876,0.056303211,0.347667346,59.041,,58.444,58.08,,,,
1233,63.197,200630_055411_0000000291_CAM2_OK.bmp,48.378,200630_055415_0000000292_CAM2_OK.bmp,M,1.093115707,0.756185887,0.093115707,0.322426162,1.089417746,0.761478135,0.089417746,0.313235344,59.911,,59.366,59.031,,,,
1234,63.513,200630_055437_0000000293_CAM2_OK.bmp,48.463,200630_055441_0000000294_CAM2_OK.bmp,F,1.093232228,0.752291313,0.093232228,0.329272294,1.085779184,0.757432136,0.085779184,0.320250293,59.145,,58.623,58.306,,,,
1235,65.656,200630_055505_0000000295_CAM2_OK.bmp,48.097,200630_055509_0000000296_CAM2_OK.bmp,M,1.106939381,0.724528999,0.106939381,0.380207005,1.056162515,0.737569935,0.056162515,0.355803637,61.226,,60.638,60.285,,,,
1236,61.515,200630_055527_0000000297_CAM2_OK.bmp,46.48,200630_055532_0000000298_CAM2_OK.bmp,M,1.038871686,0.752342608,0.038871686,0.329181664,1.030791885,0.754119201,0.030791885,0.326050309,54.905,,54.379,54.077,,,,
1241,60.513,200630_055550_0000000299_CAM2_OK.bmp,47.654,200630_055553_0000000300_CAM2_OK.bmp,M,1.075085338,0.781746892,0.075085338,0.27918641,1.087173021,0.786472436,0.087173021,0.271500379,56.463,,55.896,55.559,,,,
1243,64.387,200630_055631_0000000302_CAM2_OK.bmp,48.544,200630_055639_0000000303_CAM2_OK.bmp,M,1.088185813,0.746318319,0.088185813,0.339910832,1.086946356,0.747809664,0.086946356,0.337238669,60.66,,60.125,59.794,,,,
1244,64.73,200630_055658_0000000304_CAM2_OK.bmp,46.92,200630_055702_0000000305_CAM2_OK.bmp,M,1.09322581,0.719758243,0.09322581,0.389355397,1.093911549,0.724191092,0.093911549,0.380851008,57.818,,57.278,56.939,,,,
1245,63.86,200630_055725_0000000306_CAM2_OK.bmp,48.856,200630_055729_0000000307_CAM2_OK.bmp,F,1.121211227,0.756093584,0.121211227,0.322587603,1.116591533,0.760829085,0.116591533,0.314355642,61.388,,60.898,60.596,,,,
1246,61.057,200630_055749_0000000308_CAM2_OK.bmp,45.043,200630_055755_0000000309_CAM2_OK.bmp,M,1.030441538,0.733383729,0.030441538,0.36354266,1.03818581,0.738002418,0.03818581,0.355009111,51.986,,51.562,51.303,,,,
1251,62.829,200630_055828_0000000310_CAM2_OK.bmp,48.259,200630_055832_0000000311_CAM2_OK.bmp,M,1.098986366,0.755045195,0.098986366,0.32442403,1.091694227,0.758787384,0.091694227,0.317892233,57.794,,57.165,56.771,,,,
1252,64.169,200630_055851_0000000312_CAM2_OK.bmp,46.754,200630_055856_0000000313_CAM2_OK.bmp,M,1.07951737,0.722284717,0.07951737,0.384495583,1.0730775,0.727630455,0.0730775,0.374324003,57.778,,57.218,56.866,,,,
1253,62.968,200630_055913_0000000314_CAM2_OK.bmp,48.285,200630_055917_0000000315_CAM2_OK.bmp,F,1.0871532,0.757488105,0.0871532,0.320152744,1.138456486,0.76520169,0.138456486,0.306844996,59.281,,58.772,58.453,,,,
